#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
1	ул. Московская, д. 15, Назрань	1961	Нет	4 313.40
40	ул. Орджоникидзе, д. 6, Малгобек	1982	Нет	50	5	5	5	1 560.00	1 095.00	975.00	1 449.00	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
41	ул. Нурадилова, д. 71, к. а, Малгобек	1966	Нет	1 369.30	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
42	ул. Осканова, д. 13, к. а, Малгобек	1971	Нет	3 549.20	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
43	ул. Нурадилова, д. 73, к. а, Малгобек	1965	Нет	1 407.70	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома
44	ул. Демченко, д. 69, Сунжа	1979	Нет	2	8	472.40	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома
45	ул. Демченко, д. 71, Сунжа	1979	Нет	1	2	472.40	кирпичный	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома	Водоотведение	Газоснабжение	Теплоснабжение	Холодное водоснабжение
46	ул. Демченко, д. 72, Сунжа	1979	Нет	1	2	470.20	кирпичный	Многоквартирный дом	Отсутствует	Центральное	Автономная котельная (крышная, встроенно-пристроенная)	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома
47	ул. Демченко, д. 72, к. а, Сунжа	1979	Нет	2	2	470.20	кирпичный	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома
48	ул. Демченко, д. 3, Сунжа	1979	Нет	1	2	527.10	кирпичный	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
49	пр-кт. Базоркина, д. 5, Назрань	1963	Нет	1 757.60	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
50	пр-кт. Базоркина, д. 14, Назрань	1976	Нет	4	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
51	пр-кт. Базоркина, д. 16, Назрань	1976	Нет	3 259.50	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
52	пр-кт. Базоркина, д. 42, Назрань	1975	Нет	4	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
53	пр-кт. Базоркина, д. 44, Назрань	1975	Нет	2 574.00	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
54	ул. Московская, д. 21, Назрань	1978	Нет	2 491.30
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
55	ул. Московская, д. 29, Назрань	1979	Нет	1 739.80	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
56	ул. Московская, д. 25, Назрань	1985	Нет	5 398.80
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Тип дома
57	пр-кт. Базоркина, д. 12, Назрань	1964	Нет	4	5	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
58	пр-кт. Базоркина, д. 10, Назрань	1974	Нет	3 029.80	Автономное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
59	ул. Балкоева, д. 30, Карабулак	1962	Не имеется	Нет	35	3	5	5	1 604.00	109.62	609.84	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточно-вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	Скатная	Отсутствует	Железобетонные	Оштукатуренный	Бетонные столбы
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
60	ул. Харланова, д. 1, Сунжа	1984	Нет	1 153.90
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
61	ул. Харланова, д. 2, Сунжа	1984	Нет	1 461.00
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
62	ул. Харланова, д. 3, Сунжа	1984	Нет	769.30
