#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
1	ул. Московская, д. 15, Назрань	1961	Нет	4 313.40
148	ул. Ростовская, д. 34, Троицкая	2014	Есть	Да	36	Не присвоен	2	4	1	1 889.00	0.00	96.00	1 800.00	100.00	кирпичный	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома
149	ул. Шоссейная, д. 2, Троицкая	1971	Нет	3	2	1 470.00	4 034.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
150	ул. Шоссейная, д. 64, стр. инв 76, Троицкая	2004	Не имеется	Нет	-	Не присвоен	1	2	2	0.00	0.00	0.00	407.26	0.00	Жилой дом	Не имеется	Не определен	Многоквартирный дом	1	0.00	Отсутствует	Автономное	Внутренние водостоки	Центральное	Центральное (открытая система)	Автоматическая	Центральное	Центральное	Комбинированное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Иные	Иной	Иной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
151	ул. Шоссейная, д. 64, стр. инв 55, Троицкая	2003	Не имеется	Нет	-	Не присвоен	1	2	2	516.00	0.00	0.00	512.27	0.00	Жилой дом	Не имеется	Не определен	Многоквартирный дом	1	0.00	Отсутствует	Автономное	Внутренние водостоки	Центральное	Центральное (открытая система)	Автоматическая	Центральное	Центральное	Комбинированное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Иные	Иной	Иной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
152	ул. Шоссейная, д. 64, стр. инв 58, Троицкая	2004	Не имеется	Нет	-	Не присвоен	1	2	2	0.00	0.00	0.00	512.27	0.00	Жилой дом	Не имеется	Не определен	Многоквартирный дом	1	0.00	Отсутствует	Автономное	Внутренние водостоки	Центральное	Центральное (открытая система)	Автоматическая	Центральное	Центральное	Комбинированное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Иные	Иной	Иной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
153	ул. Шоссейная, д. 64, стр. инв 63, Троицкая	2004	Не имеется	Нет	-	Не присвоен	1	2	2	0.00	0.00	0.00	407.26	0.00	Жилой дом	Не имеется	Не определен	Многоквартирный дом	1	0.00	Отсутствует	Автономное	Внутренние водостоки	Центральное	Центральное (открытая система)	Автоматическая	Центральное	Центральное	Комбинированное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Иные	Иной	Иной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
154	ул. Шоссейная, д. 64, стр. инв 54, Троицкая	2004	Не имеется	Нет	-	Не присвоен	1	2	2	720.00	0.00	0.00	512.27	0.00	Жилой дом	Не имеется	Не определен	Многоквартирный дом	1	0.00	Отсутствует	Автономное	Внутренние водостоки	Центральное	Центральное (открытая система)	Автоматическая	Центральное	Центральное	Комбинированное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Иные	Иной	Иной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
155	ул. Шоссейная, д. 64, стр. инв 53, Троицкая	2004	Не имеется	Нет	-	Не присвоен	1	2	2	720.00	0.00	0.00	512.27	0.00	Жилой дом	Не имеется	Не определен	Многоквартирный дом	1	0.00	Отсутствует	Автономное	Внутренние водостоки	Центральное	Центральное (открытая система)	Автоматическая	Центральное	Центральное	Комбинированное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Иные	Иной	Иной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
156	ул. Шоссейная, д. 64, стр. инв 56, Троицкая	2004	Не имеется	Нет	-	Не присвоен	1	3	3	851.00	0.00	0.00	706.49	0.00	Жилой дом	Не имеется	Не определен	Многоквартирный дом	1	0.00	Отсутствует	Автономное	Внутренние водостоки	Центральное	Центральное (открытая система)	Автоматическая	Центральное	Центральное	Комбинированное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Иные	Иной	Иной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
157	ул. Шоссейная, д. 64, стр. инв 64, Троицкая	2004	Не имеется	Нет	-	Не присвоен	1	2	2	516.00	0.00	0.00	407.26	0.00	Жилой дом	Не имеется	Не определен	Многоквартирный дом	1	0.00	Отсутствует	Автономное	Внутренние водостоки	Центральное	Центральное (открытая система)	Автоматическая	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Иные	Иной	Иной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
158	ул. Шоссейная, д. 64, стр. инв 65, Троицкая	2004	Не имеется	Нет	-	Не присвоен	1	2	2	516.00	0.00	0.00	407.26	0.00	Жилой дом	Не имеется	Не определен	Многоквартирный дом	1	0.00	Отсутствует	Автономное	Наружные водостоки	Центральное	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Комбинированное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Иные	Иной	Иной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
159	ул. Шоссейная, д. 64, стр. инв 67, Троицкая	2004	Не имеется	Нет	-	Не присвоен	1	2	2	516.00	0.00	0.00	407.26	0.00	Жилой дом	Не имеется	Не определен	Многоквартирный дом	1	0.00	Отсутствует	Автономное	Наружные водостоки	Центральное	Центральное (открытая система)	Автоматическая	Центральное	Центральное	Комбинированное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Иные	Иной	Иной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
160	ул. Шоссейная, д. 64, стр. инв 75, Троицкая	2003	Не имеется	Нет	-	Не присвоен	1	3	3	0.00	0.00	0.00	706.49	0.00	Жилой дом	Не имеется	Не определен	Многоквартирный дом	1	0.00	Отсутствует	Центральное	Наружные водостоки	Центральное	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Иные	0.00	Скатная	Отсутствует	Иные	Иной	Иной
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2
161	ул. Харланова, д. 27, Сунжа	1979	Нет	2	2	691.00
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2
162	ул. Гайдара, д. 44, Сунжа	1978	Нет	2	2	514.00
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома
163	ул. Гагарина, д. 2, к. А, Сунжа	1978	Нет	1	2	522.00	кирпичный	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома
164	ул. Энгельса, д. 4, Сунжа	1962	Нет	2	2	761.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания
165	ул. Энгельса, д. 1, Сунжа	1980	Нет	A	1	2	262.00	кирпичный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2
166	ул. Энгельса, д. 2, Сунжа	1981	Нет	1	2	263.00
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома
167	ул. Энгельса, д. 3, Сунжа	1981	Нет	1	2	268.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Холодное водоснабжение	Электроснабжение	Несущие стены	Мусоропровод	Перекрытия	Фундамент
168	ул. Заводская, д. 4, Сунжа	1982	Нет	1	2	264.00	Многоквартирный дом	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Каменные, кирпичные	Отсутствует	Железобетонные	Бетонные столбы
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2
169	ул. Энгельса, д. 5, Сунжа	1982	Нет	1	2	261.00
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома
170	ул. Привокзальная, д. 5, Сунжа	1985	Нет	1	2	441.00	кирпичный	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Серия, тип постройки здания	Тип дома
171	ул. Привокзальная, д. 7, Сунжа	1985	Нет	2	2	1 324.00	кирпичный	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома
172	ул. Исламская, д. 34, Галашки	1958	Нет	1	2	360.00	Многоквартирный дом
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
173	ул. З.Борова, д. 9, Магас	2010	Нет	Не присвоен	4	5	1 707.00	Многоквартирный дом	Центральное	Центральное	Автономная котельная (крышная, встроенно-пристроенная)	Автономная котельная (крышная, встроенно-пристроенная)	Центральное	Центральное	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
174	ул. А.Горчханова, д. 6, Магас	2012	Нет	Не присвоен	6	6	3 964.70	Многоквартирный дом	Центральное	Центральное	Квартирное (квартирный котел)	Автономная котельная (крышная, встроенно-пристроенная)	Центральное	Центральное	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
175	ул. Б.Гагиева, д. 5, Магас	2009	Нет	Не присвоен	2	6	2 879.75	Многоквартирный дом	Центральное	Центральное	Квартирное (квартирный котел)	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
176	ул. Б.Гагиева, д. 3, Магас	2009	Нет	Не присвоен	2	6	2 879.75	Многоквартирный дом	Центральное	Центральное	Квартирное (квартирный котел)	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Перекрытия
177	пр-кт. И.Зязикова, д. 8, Магас	2004	Нет	Не присвоен	2	5	1 943.29	Многоквартирный дом	Центральное	Центральное	Квартирное (квартирный котел)	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Теплоснабжение	Несущие стены	Перекрытия
178	ул. С.Озиева, д. 3, к. а, Магас	2002	Нет	Не присвоен	2	3	1 688.00	Многоквартирный дом	Квартирное отопление (квартирный котел)	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Теплоснабжение	Несущие стены	Перекрытия
179	ул. С.Озиева, д. 3, Магас	2002	Нет	Не присвоен	2	3	1 688.00	Многоквартирный дом	Квартирное отопление (квартирный котел)	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Теплоснабжение	Несущие стены	Перекрытия
180	ул. С.Озиева, д. 4, Магас	2008	Нет	Не присвоен	2	4	1 941.45	Многоквартирный дом	Квартирное отопление (квартирный котел)	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Теплоснабжение	Несущие стены	Перекрытия
181	ул. С.Озиева, д. 4, к. а, Магас	2008	Нет	Не присвоен	2	4	1 941.45	Многоквартирный дом	Квартирное отопление (квартирный котел)	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Теплоснабжение	Несущие стены	Перекрытия
182	ул. Н.С.Хрущева, д. 1, Магас	2011	Нет	Не присвоен	3	6	2 925.54	Многоквартирный дом	Квартирное отопление (квартирный котел)	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Теплоснабжение	Несущие стены	Перекрытия
183	ул. Н.С.Хрущева, д. 2, Магас	2011	Нет	Не присвоен	2	6	1 765.25	Многоквартирный дом	Квартирное отопление (квартирный котел)	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Теплоснабжение	Несущие стены	Перекрытия
184	ул. Н.С.Хрущева, д. 3, Магас	2011	Нет	Не присвоен	3	6	2 922.54	Многоквартирный дом	Квартирное отопление (квартирный котел)	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Несущие стены	Перекрытия
185	пр-кт. Базоркина, д. 16., Назрань	1976	Нет	4	5	3 260.00	2 460.00	Многоквартирный дом	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Несущие стены	Перекрытия
186	пр-кт. Базоркина, д. 44., Назрань	1975	Нет	4	5	2 574.00	2 080.00	Многоквартирный дом	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь зем. участка общего имущества м2	Тип дома	Несущие стены	Перекрытия
187	ул. Московская, д. 31., Назрань	1992	Нет	10	5	4 800.00	Многоквартирный дом	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Класс энергетической эффективности	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
188	ул. Шоссейная, д. 1, к. в/г 1, инв. 59, Троицкая	2003	Не имеется	Нет	-	Не присвоен	1	1	0.00	0.00	0.00	427.45	0.00	Жилой	Не имеется	Не определен	Многоквартирный дом	1	0.00	Отсутствует	Центральное	Наружные водостоки	Отсутствует	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Иные	0.00	Скатная	Отсутствует	Иные	Иной	Иной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Класс энергетической эффективности	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
189	ул. Шоссейная, д. 4, к. в/г 1, инв. 60, Троицкая	2003	Не имеется	Нет	-	Не присвоен	1	1	0.00	0.00	0.00	427.45	0.00	Жилой	Не имеется	Не определен	Многоквартирный дом	1	0.00	Отсутствует	Центральное	Наружные водостоки	Отсутствует	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Иные	0.00	Скатная	Отсутствует	Иные	Иной	Иной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Класс энергетической эффективности	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
